ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
1813;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2387";"127015, город Москва, улица Нижняя Масловка, дом 5, корпус 4";"Северный административный округ";"район Беговой";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"257-78-35";"ds1048.mskobr.ru";"detsk.2387@yandex.ru";"37,578243";"55,785909";"87029434";
1814;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2522";"125080, г. Москва, Волоколамское шоссе, д. 14-а, строение 1";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 158-82-61";"ds2522.mskobr.ru";"hrustalevavv@mail.ru";"37,500891";"55,808398";"87029435";
1815;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 65";"109280, г. Москва, улица 1-ая Машиностроения, дом 2/7, корпус 2";"Юго-Восточный административный округ";"Южнопортовый район";"Государственное";"Юго-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"679-47-40";"dskuv65.mskobr.ru";"gouds65@mail.ru";"37,673093";"55,703388";"87029436";
1816;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 471";"111020, г. Москва Юрьевский пер., д. 8а, стр.1";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"360-38-32";"dskuv471.mskobr.ru";"ds471@uvuo.ru";"37,716565";"55,765435";"87029437";
1817;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №2616";"111674, Москва, ул. Лухмановская,д. 13А";"Восточный административный округ";"район Косино-Ухтомский";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 797-41-07";"dskv2616.mskobr.ru";"ds2616@mail.ru";"37,903134";"55,724767";"87029486";
1818;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2280";"105043, г.Москва, 5 Парковая ул., д. 5 а";"Восточный административный округ";"район Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 367-77-36";"ds211.mskobr.ru";"detsad2280@qmail.com";"37,790436";"55,794101";"87029487";
1819;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2280";"105043, г.Москва, 5 Парковая ул., д. 5 а";"Восточный административный округ";"район Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 367-77-36";"ds211.mskobr.ru";"detsad2280@qmail.com";"37,780554";"55,792003";"87029488";
1820;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2280";"105043, г.Москва, 5 Парковая ул., д. 5 а";"Восточный административный округ";"район Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 367-77-36";"ds211.mskobr.ru";"detsad2280@qmail.com";"37,813482";"55,800443";"87029489";
1821;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2280";"105043, г.Москва, 5 Парковая ул., д. 5 а";"Восточный административный округ";"район Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 367-77-36";"ds211.mskobr.ru";"detsad2280@qmail.com";"37,796481";"55,789642";"87029490";
1822;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2280";"105043, г.Москва, 5 Парковая ул., д. 5 а";"Восточный административный округ";"район Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 367-77-36";"ds211.mskobr.ru";"detsad2280@qmail.com";"37,793706";"55,805281";"87029491";
1823;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2280";"105043, г.Москва, 5 Парковая ул., д. 5 а";"Восточный административный округ";"район Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 367-77-36";"ds211.mskobr.ru";"detsad2280@qmail.com";"37,772329";"55,796094";"87029492";
1824;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1905";"105118, г.Москва,пр-т Буденного, д.30/8";"Восточный административный округ";"район Соколиная Гора";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"672-38-70";"ds1905.mskobr.ru";"vao1905@yandex.ru";"37,733377";"55,761276";"87029500";
1825;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1181";"117463, г.Москва, улица Голубинская, дом 24, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"423-11-00";"http://www.dsuz1181.mskobr.ru";"gou1181@mail.ru";"37,530452";"55,608691";"87029501";
1826;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2687";"117148, город Москва, улица Маршала Савицкого, дом 22, корпус 3";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 232-14-45";"http://dsuz2687.mskobr.ru/";"dou2687@mosuzedu.ru";"37,591329";"55,501582";"87029510";
1827;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2687";"117148, город Москва, улица Маршала Савицкого, дом 22, корпус 3";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 232-14-45";"http://dsuz2687.mskobr.ru/";"dou2687@mosuzedu.ru";"37,59169";"55,502751";"87029511";
1828;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1166";"115561 г.Москва, ул.Домодедовкая, д.31, к.2";"Южный административный округ";"район Орехово-Борисово Южное";"Государственное";"Южное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(495) 392-17-85";"";"dou1166@sinergi.ru";"37,718972";"55,602345";"87029554";
1829;"Государственное  бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2173";"109263, г.Москва, 7-я улица Текстильщиков  дом 4а";"Юго-Восточный административный округ";"район Текстильщики";"Государственное";"Юго-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 179-60-00; (499) 178-83-70";"dskuv2173.mskobr.ru";"ds2173@bk.ru";"37,749374";"55,698228";"87029559";
1830;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 714";"125480, г. Москва, ул. Вилиса Лациса, д. 7, корп. 2";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 495-72-44; (499) 762-18-15";"ds714.mskobr.ru";"dou714@szouo.ru";"37,429251";"55,863791";"87029568";
1831;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 714";"125480, г. Москва, ул. Вилиса Лациса, д. 7, корп. 2";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 495-72-44; (499) 762-18-15";"ds714.mskobr.ru";"dou714@szouo.ru";"37,426397";"55,859438";"87029569";
1832;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1253";"127422, г. Москва, ул. Тимирязевская, д. 24А";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"639-87-68";"ds1253.mskobr.ru";"ds1253@mail.ru";"37,563519";"55,818541";"87029610";
1833;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №915";"125373, г. Москва, проезд Донелайтиса, д. 16";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 949-53-84, (495) 949-4549";"dskvp915.mskobr.ru";"dou915@szouo.ru";"37,417025";"55,840044";"87029615";
1834;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №915";"125373, г. Москва, проезд Донелайтиса, д. 16";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 949-53-84, (495) 949-4549";"dskvp915.mskobr.ru";"dou915@szouo.ru";"37,421627";"55,846544";"87029616";
1835;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 970";"105554, г. Москва, 11-я Парковая ул., д. 5 а.";"Восточный административный округ";"район Восточное Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 463-10-90";"dskv970.mskobr.ru";"detcad970@yandex.ru";"37,817642";"55,800403";"87029634";
1836;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2565";"105122, г. Москва, ул.3-я Парковая , д.61А";"Восточный административный округ";"район Северное Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 748-27-10";"ds2517.mskobr.ru";"ds2565@mail.ru";"37,780074";"55,806927";"87029635";
1837;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2565";"105122, г. Москва, ул.3-я Парковая , д.61А";"Восточный административный округ";"район Северное Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 748-27-10";"ds2517.mskobr.ru";"ds2565@mail.ru";"37,785184";"55,805548";"87029636";
1838;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 927";"107078 г. Москва, улица Садовая - Спасская, дом.21/1";"Центральный административный округ";"Красносельский район";"Государственное";"Центральное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 607-27-15";"ds927.mskobr.ru";"ds927@yandex.ru";"37,639226";"55,770639";"87029641";
1839;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 936";"119034 г. Москва, Пречистенский пер., д. 3,";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 241-55-53";"dskv936.mskobr.ru";"dskv936@mail.ru";"37,594716";"55,743091";"87029642";
1840;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2299";"105064, г. Москва, Хомутовский тупик, д. 6, стр. 5";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 608-31-10; (495) 607-12-23";"ds2299.mskobr.ru";"sad2299@yandex.ru";"37,656351";"55,766798";"87029643";
1841;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 350";"109052, Москва, ул. Нижегородская, дом 80, корпус 1, корпус 2";"Юго-Восточный административный округ";"Нижегородский район";"Государственное";"Юго-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 678-42-34; (495) 678-47-50";"dsuv350.mskobr.ru";"ds350@list.ru";"37,71478";"55,730913";"87029649";
1842;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2449";"115193, г. Москва, 5-я Кожуховская ул. д.31";"Юго-Восточный административный округ";"Южнопортовый район";"Государственное";"Юго-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 679-08-26";"dsuv2449.mskobr.ru";"kondrateva2449@mail.ru";"37,680283";"55,7064";"87029650";
1843;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 888";"107061, г. Москва, ул.Большая Черкизовская, д.8";"Восточный административный округ";"район Преображенское";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 161-70-78; (499) 161-70-86";"dsv888.mskobr.ru";"detsad888@mail.ru";"37,722709";"55,794093";"87029658";
1844;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 434";"105077,г.Москва,Измайловский бульвар,д.60/10";"Восточный административный округ";"район Восточное Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 465-61-96";"dskv434.mskobr.ru";"ds.434@yandex.ru";"37,813366";"55,800465";"87029659";
1845;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 434";"105077,г.Москва,Измайловский бульвар,д.60/10";"Восточный административный округ";"район Восточное Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 465-61-96";"dskv434.mskobr.ru";"ds.434@yandex.ru";"37,81367";"55,796449";"87029660";
1846;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 727 ""Непоседы""";"125363, г. Москва, ул. Нелидовская, д. 10, корп. 1";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 729-55-60; (499) 740-70-98";"ds1739szao.mskobr.ru";"dou727@szouo.ru";"37,440731";"55,847144";"87029662";
1847;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 727 ""Непоседы""";"125363, г. Москва, ул. Нелидовская, д. 10, корп. 1";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 729-55-60; (499) 740-70-98";"ds1739szao.mskobr.ru";"dou727@szouo.ru";"37,437773";"55,844669";"87029663";
1848;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2264";"125430, г. Москва, Пятницкое шоссе, дом 29, корпус 4";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"751-73-41";"ds2244.mskobr.ru";"dou2264@szouo.ru";"37,356904";"55,851968";"87029664";
1849;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2264";"125430, г. Москва, Пятницкое шоссе, дом 29, корпус 4";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"751-73-41";"ds2244.mskobr.ru";"dou2264@szouo.ru";"37,362049";"55,850552";"87029665";
1850;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 27";"125493, г. Москва, улица Авангардная, дом 4А";"Северный административный округ";"Головинский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"452-54-71";"ds2.mskobr.ru";"gou-ds-2@mail.ru";"37,493215";"55,84346";"87029666";
1851;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 187";"125167, г. Москва, улица Степана Супруна, дом 12. корпус 1";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 612-62-72";"dskv187.mskobr.ru";"dskv.187@yandex.ru";"37,523263";"55,80915";"87029667";
1852;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 453";"125183, г. Москва, улица Генерала Рычагова, дом 7А";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 154-00-21";"ds470.mskobr.ru";"dou453@mail.ru";"37,541746";"55,839244";"87029668";
1853;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 457";"125319, г. Москва, улица 8 Марта, дом 15";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 152-19-26; (499) 152-15-82";"ds1042.mskobr.ru";"best.dou457@mail.ru";"37,550008";"55,804878";"87029669";
1854;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 457";"125319, г. Москва, улица 8 Марта, дом 15";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 152-19-26; (499) 152-15-82";"ds1042.mskobr.ru";"best.dou457@mail.ru";"37,548905";"55,804384";"87029670";
1855;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 458";"125319, г. Москва, улица Коккинаки,  7";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 152-34-61";"ds458.mskobr.ru";"detsad458@gmail.com";"37,546856";"55,805508";"87029671";
1856;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 460";"127083, г. Москва, Петровско-Разумовская аллея, дом 20";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 612-71-53";"dsso460.mskobr.ru";"supersad460@mail.ru";"37,55622";"55,798302";"87029672";
1857;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 533";"125008, г. Москва, бульвар Матроса Железняка, дом 4";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 450-77-52";"ds2012.mskobr.ru";"ds-533@yandex.ru";"37,528566";"55,831497";"87029673";
1858;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 533";"125008, г. Москва, бульвар Матроса Железняка, дом 4";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 450-77-52";"ds2012.mskobr.ru";"ds-533@yandex.ru";"37,527631";"55,826527";"87029674";
1859;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 533";"125008, г. Москва, бульвар Матроса Железняка, дом 4";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 450-77-52";"ds2012.mskobr.ru";"ds-533@yandex.ru";"37,531731";"55,827083";"87029675";
1860;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1832";"127322, город Москва, улица Яблочкова, дом 23, корпус 4";"Северо-Восточный административный округ";"Бутырский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"639-74-76";"dskv1832.mskobr.ru";"gou1832@yandex.ru";"37,57689";"55,820915";"87029676";
1861;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2742";"125008,г. Москва, улица Михалковская, дом 20 А Ул.Михалковская д13Б";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 154-14-01";"dss626.mskobr.ru";"detsad626@yandex.ru";"37,530598";"55,840053";"87029677";
1862;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1071";"125252, г. Москва, улица Новопесчаная, дом 25";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"157-67-12";"ds1071.mskobr.ru";"gou-ds1071@mail.ru";"37,512351";"55,792699";"87029678";
1863;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1362";"125599, г. Москва, улица Бусиновская горка, дом 3";"Северный административный округ";"район Западное Дегунино";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 486-26-06; (495) 486-63-45; (495) 486-63-77";"dskv1362.mskobr.ru";"detsad1362@yandex.ru";"37,489092";"55,884146";"87029679";
1864;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1487";"127644,  г. Москва, ул. Клязьминская, дом 7А";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"906-09-53";"ds1487.mskobr.ru";"gou1487@mail.ru";"37,52491";"55,885527";"87029680";
1865;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 3";"123104 г. Москва, Богословский пер., д.10, стр.1";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(495) 695-71-89";"ds1883.mskobr.ru";"gou-detsad3@yandex.ru";"37,599865";"55,761885";"87029681";
1866;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида  № 275";"105062 г. Москва, ул. Машкова, д.3 а";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(495) 624-95-44";"dsovp827.mskobr.ru";"basmanka1@mail.ru";"37,65361";"55,763914";"87029682";
1867;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2195";"127238, г. Москва, Локомотивный проезд, дом 7А";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"482-03-30";"ds2195.mskobr.ru";"det.2195@yandex.ru";"37,574984";"55,841079";"87029683";
1868;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 255";"123100 г. Москва, Глубокий пер, д.3";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(495) 605-12-11";"ds255.mskobr.ru";"crr255@yandex.ru";"37,571864";"55,758575";"87029684";
1869;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 183";"109462, г. Москва Волжский бульвар, д. 23, корп. 1";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"176-74-00";"crruv183.mskobr.ru";"neskuchniy-sad@yandex.ru";"37,749157";"55,711877";"87029685";
1870;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 136";"117279, г. Москва, ул. Миклухо-Маклая, д. 53";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"334-25-29";"http://crdsuz136.mskobr.ru";"crr289@yandex.ru";"37,531223";"55,642521";"87029686";
1871;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 250";"117321, г. Москва, ул. Профсоюзная, дом 152Б";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"427-75-22";"http://dsuz250.mskobr.ru";"ds793@mail.ru";"37,502089";"55,623665";"87029687";
1872;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 401";"119296, г.Москва, Ломоносовский проспект, дом 14";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"938-08-05";"http://dzus401@mskobr.ru/";"dou1123@mosuzedu.ru";"37,542939";"55,691134";"87029688";
1873;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1304";"109518, Москва, Саратовская д.3, корп.3";"Юго-Восточный административный округ";"район Текстильщики";"Государственное";"Юго-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"177-77-20";"dsuv1304.mskobr.ru";"detskiysad1304@yandex.ru";"37,736363";"55,71165";"87029689";
